라가, 82, 186
자아, 59, 156
아다, 41, 170
마차, 43, 185
다카, 94, 163
라가, 66, 170
라사, 40, 141
사파, 53, 163
사사, 93, 167
가파, 97, 183
라파, 77, 183
바자, 76, 171
바자, 40, 164
마카, 53, 175
사나, 48, 178
마라, 76, 191
파바, 78, 147
카파, 45, 175
나파, 78, 146
카차, 42, 189
파자, 64, 166
다타, 63, 191
파차, 48, 152
마자, 70, 198
나마, 84, 146
나아, 67, 174
파사, 83, 180
바나, 82, 192
사타, 55, 198
차아, 83, 172
가타, 56, 191
차바, 61, 142
하카, 66, 195
차차, 58, 172
카바, 40, 171
바사, 70, 147
다나, 46, 168
차라, 53, 140
파나, 79, 142
다바, 78, 181
나차, 79, 188
라마, 78, 164
나나, 95, 190
마타, 77, 159
타가, 96, 145
파차, 79, 186
라마, 45, 178
사카, 95, 196
아타, 77, 176
하나, 57, 184
라사, 88, 154
라가, 50, 182
가바, 87, 163
사파, 93, 180
라하, 47, 181
마나, 61, 162
가카, 58, 176
아카, 63, 194
아파, 74, 147
차아, 44, 172
다사, 73, 182
바바, 86, 166
파가, 62, 193
파마, 61, 162
차카, 69, 148
라사, 59, 159
마나, 78, 180
사다, 52, 162
아나, 98, 184
가나, 64, 184
차마, 85, 148
나아, 95, 188
타나, 67, 192
라사, 56, 140
하아, 92, 152
아아, 60, 154
다바, 54, 146
자타, 95, 188
사카, 42, 178
라라, 40, 150
타타, 76, 180
마가, 50, 189
바바, 97, 153
가라, 95, 147
라타, 82, 182
자차, 99, 195
아가, 70, 155
자사, 88, 154
하차, 64, 173
가가, 79, 147
카카, 66, 152
파차, 42, 151
다바, 46, 186
카가, 73, 163
바파, 40, 175
바다, 56, 171
가카, 94, 164
가자, 89, 160
차다, 51, 147
카하, 74, 141
카바, 44, 161
카타, 88, 159
차파, 46, 179
마다, 78, 147
다다, 70, 183
파라, 84, 167
카나, 52, 150
라파, 59, 186
바파, 95, 179
마하, 89, 186
파아, 76, 154
나나, 80, 185
사나, 46, 161
자바, 93, 163
차마, 89, 173
자라, 40, 167
하하, 88, 169
가마, 52, 161
차차, 86, 179
차마, 61, 197
차마, 67, 151
나타, 70, 157
바다, 75, 143
하차, 48, 161
바자, 77, 180
바카, 47, 195
다사, 53, 190
나파, 48, 195
사라, 99, 148
바바, 54, 155
가나, 84, 146
바차, 46, 152
자다, 68, 179
바나, 75, 188
사다, 68, 143
마마, 52, 146
자자, 56, 162
사나, 87, 163
파바, 61, 146
나차, 43, 193
파나, 54, 158
사파, 84, 141
다바, 56, 159
마차, 84, 185
하자, 55, 158
하타, 60, 143
나다, 83, 149
타사, 77, 152
아나, 90, 188
차바, 77, 142
파나, 90, 162
가나, 66, 156
사사, 76, 159
자하, 89, 177
라사, 60, 178
하라, 56, 157
가사, 81, 144
마카, 78, 190
하타, 79, 184
카나, 67, 191
아다, 66, 143
가나, 71, 173
하라, 48, 148
차바, 87, 165
자나, 53, 155
자다, 52, 166
타아, 67, 148
가아, 93, 169
아차, 79, 146
차사, 75, 160
가바, 78, 183
마라, 98, 143
라파, 47, 183
하하, 53, 163
가카, 63, 169
아자, 54, 165
아마, 79, 150
타파, 97, 149
카마, 83, 147
바다, 56, 157
사바, 57, 169
바다, 42, 148
타사, 82, 177
카나, 48, 163
하마, 56, 194
하바, 84, 188
타바, 54, 190
다마, 47, 170
하아, 85, 169
파아, 85, 190
다자, 66, 148
자차, 74, 174
카가, 58, 176
카아, 88, 178
다파, 46, 180
나다, 65, 144
나차, 63, 140
자자, 99, 153
다차, 94, 196
파라, 84, 167
마아, 53, 182
나라, 62, 190
가하, 51, 179
사차, 64, 150
아나, 65, 185
아카, 91, 182
가파, 40, 145
자마, 67, 177
하마, 83, 199
타파, 58, 194
아마, 50, 162
차차, 74, 181
라하, 91, 161
가카, 86, 163
타나, 64, 198
카차, 92, 161
자마, 47, 146
바타, 73, 173
바사, 48, 165
다나, 65, 181
나타, 61, 148
사자, 89, 181
파라, 50, 183
아바, 47, 140
가자, 83, 174
나바, 61, 150
바카, 66, 194
사파, 87, 172
타자, 58, 144
나라, 90, 165
카가, 45, 141
가라, 75, 199
자자, 46, 145
사마, 74, 172
자사, 76, 195
사라, 66, 173
차타, 85, 161
나라, 79, 169
다자, 76, 193
아파, 69, 144
아하, 77, 194
카자, 54, 191
하다, 49, 169
아가, 93, 165
라사, 88, 152
카가, 57, 173
라바, 98, 154
하차, 64, 165
바타, 49, 141
아사, 58, 199
라마, 87, 180
타가, 71, 160
사마, 45, 154
사하, 98, 179
하다, 98, 188
차차, 66, 171
타파, 70, 150
타라, 93, 164
자마, 55, 177
아카, 79, 140
다다, 90, 161
바타, 57, 185
바파, 46, 179
다파, 68, 191
라다, 54, 192
다타, 97, 196
차바, 46, 178
자차, 46, 189
타다, 95, 151
카라, 62, 170
하라, 61, 178
아카, 75, 178
다차, 74, 182
하나, 96, 152
카사, 68, 149
다사, 91, 156
아가, 87, 166
가라, 80, 170
바나, 86, 173
나라, 46, 156
다파, 94, 182
파나, 41, 192
가마, 58, 195
사가, 77, 185
하마, 94, 152
마라, 90, 179
자자, 53, 170
가자, 40, 183
가사, 55, 179
아가, 85, 194
사마, 47, 188
다자, 46, 176
카자, 47, 164
마자, 91, 181
카바, 73, 162
마다, 43, 189
타마, 65, 196
바바, 93, 190
나마, 63, 143
사가, 78, 173
라바, 99, 148
가바, 93, 186
나나, 61, 180
사가, 46, 147
차라, 68, 141
라바, 52, 187
자다, 59, 168
마자, 45, 160
다가, 88, 155
사마, 44, 194
아마, 97, 140
하마, 85, 190
다자, 84, 189
바가, 66, 169
아차, 96, 180
파하, 82, 141
카아, 49, 147
타가, 44, 189
자마, 42, 186
하자, 98, 165
가하, 69, 148
가하, 76, 144
가다, 64, 196
마차, 53, 187
자나, 42, 176
라파, 53, 193
자하, 70, 157
다나, 60, 178
나타, 76, 172
라마, 71, 193
사다, 53, 197
바아, 54, 158
아자, 95, 162
다다, 97, 189
마차, 55, 150
라다, 61, 153
카가, 45, 186
파사, 77, 177
라자, 51, 189
마타, 90, 147
가바, 74, 147
마바, 46, 198
카다, 63, 175
아나, 83, 199
자나, 85, 188
하나, 64, 180
카아, 63, 180
파가, 83, 198
파차, 66, 141
차바, 45, 193
파자, 50, 146
가다, 75, 197
마아, 71, 147
타파, 77, 141
마자, 70, 180
가하, 85, 182
라다, 88, 189
사라, 83, 156
차카, 55, 151
타다, 51, 150
바라, 99, 154
파다, 86, 194
하나, 71, 192
자바, 54, 176
라가, 48, 166
나하, 80, 150
카바, 62, 168
바가, 72, 181
카라, 47, 192
나나, 76, 198
나자, 43, 185
마아, 78, 183
나파, 71, 155
가다, 50, 147
다마, 54, 193
자나, 62, 160
차아, 75, 165
바바, 99, 168
자나, 68, 190
사하, 89, 154
차다, 72, 155
파타, 47, 162
파바, 76, 197
다라, 86, 186
하라, 96, 178
나아, 49, 173
카차, 97, 179
카사, 97, 193
자하, 80, 167
카하, 90, 154
다자, 53, 190
자나, 42, 176
바사, 96, 158
다파, 59, 190
하하, 94, 155
가아, 93, 175
카다, 93, 142
마마, 68, 185
카자, 92, 161
나바, 89, 162
카사, 55, 190
라사, 75, 153
타가, 99, 199
타다, 53, 176
라타, 72, 147
자다, 66, 187
타사, 76, 148
아라, 95, 151
가타, 88, 148
사바, 90, 140
라다, 87, 161
자사, 89, 173
다바, 53, 199
나마, 86, 141
바파, 62, 163
파자, 67, 151
다바, 69, 192
타카, 56, 184
다나, 61, 190
다차, 45, 156
하하, 48, 161
하아, 56, 159
아아, 78, 140
타나, 52, 166
나하, 84, 192
나하, 61, 157
하아, 81, 159
가아, 65, 193
다파, 68, 189
파아, 62, 177
아파, 45, 192
바나, 53, 199
라타, 70, 180
카하, 85, 180
하나, 71, 152
타나, 64, 152
아가, 56, 164
자자, 64, 165
바다, 50, 188
나하, 44, 153
차마, 48, 195
나하, 86, 142
하하, 76, 183
바라, 84, 165
파타, 43, 146
아라, 50, 191
다나, 83, 182
가차, 57, 148
타라, 85, 176
바바, 91, 197
나하, 45, 168
하라, 99, 150
차라, 57, 164
라가, 66, 162
하가, 42, 193
마사, 95, 184
카라, 41, 184
다자, 59, 199
카사, 97, 167
라카, 52, 169
마가, 97, 179
마라, 41, 177
자라, 64, 152
차아, 79, 191
타카, 94, 181
다파, 51, 156
아카, 54, 171
파마, 60, 163
가다, 63, 181
카파, 62, 155
차차, 50, 162
파라, 48, 150
마아, 78, 180
타아, 76, 143
차아, 67, 158
다사, 40, 143
자마, 46, 168
아차, 88, 165
타카, 78, 152
아바, 48, 146
타바, 80, 159
나나, 86, 163
사차, 99, 192
자차, 83, 153
사아, 64, 170
마가, 99, 179
자바, 89, 168
사바, 61, 146
하다, 63, 184
하사, 86, 151
가마, 77, 192
타라, 92, 151
카라, 71, 146
파하, 42, 166
바아, 77, 164
차하, 79, 185
바차, 53, 163
나자, 97, 178
타바, 49, 199
카카, 82, 197
